rcID,lsoa11cd,distance
RC_EW_2713,E01006412,17012
RC_EW_2713,E01006413,17162
RC_EW_2713,E01006414,16856
RC_EW_2713,E01006415,16782
RC_EW_2713,E01006416,18431
RC_EW_2713,E01006417,16598
RC_EW_2713,E01006418,16569
RC_EW_2713,E01006419,20721
RC_EW_2713,E01006420,24945
RC_EW_2713,E01006421,19716
RC_EW_2713,E01006422,25396
RC_EW_2713,E01006423,20808
RC_EW_2713,E01006424,29920
RC_EW_2713,E01006425,19728
RC_EW_2713,E01006426,21436
RC_EW_2713,E01006427,20799
RC_EW_2713,E01006428,22275
RC_EW_2713,E01006429,22771
RC_EW_2713,E01006430,19808
RC_EW_2713,E01006431,20186
RC_EW_2713,E01006432,21015
RC_EW_2713,E01006433,19303
RC_EW_2713,E01006434,17444
RC_EW_2713,E01006435,17204
RC_EW_2713,E01006436,17828
RC_EW_2713,E01006437,18281
RC_EW_2713,E01006438,17825
RC_EW_2713,E01006439,19384
RC_EW_2713,E01006440,22289
RC_EW_2713,E01006441,17777
RC_EW_2713,E01006442,18518
RC_EW_2713,E01006443,18577
RC_EW_2713,E01006444,18750
RC_EW_2713,E01006445,18113
RC_EW_2713,E01006446,18476
RC_EW_2713,E01006447,19175
RC_EW_2713,E01006448,18665
RC_EW_2713,E01006449,17050
RC_EW_2713,E01006450,17345
RC_EW_2713,E01006451,17691
RC_EW_2713,E01006452,17123
RC_EW_2713,E01006453,16463
RC_EW_2713,E01006454,18367
RC_EW_2713,E01006455,17424
RC_EW_2713,E01006456,18345
RC_EW_2713,E01006457,17740
RC_EW_2713,E01006458,19804
RC_EW_2713,E01006459,24152
RC_EW_2713,E01006460,23541
RC_EW_2713,E01006461,23487
RC_EW_2713,E01006462,23739
RC_EW_2713,E01006463,23622
RC_EW_2713,E01006464,22585
RC_EW_2713,E01006465,19498
RC_EW_2713,E01006466,23303
RC_EW_2713,E01006467,17022
RC_EW_2713,E01006470,16769
RC_EW_2713,E01006471,23559
RC_EW_2713,E01006472,15587
RC_EW_2713,E01006473,24587
RC_EW_2713,E01006474,18113
RC_EW_2713,E01006475,17972
RC_EW_2713,E01006476,17855
RC_EW_2713,E01006477,19787
RC_EW_2713,E01006478,21632
RC_EW_2713,E01006479,18379
RC_EW_2713,E01006480,19088
RC_EW_2713,E01006481,18945
RC_EW_2713,E01006482,18580
RC_EW_2713,E01006483,19661
RC_EW_2713,E01006484,18902
RC_EW_2713,E01006485,15553
RC_EW_2713,E01006486,16477
RC_EW_2713,E01006487,15737
RC_EW_2713,E01006488,15423
RC_EW_2713,E01006489,16550
RC_EW_2713,E01006490,21619
RC_EW_2713,E01006491,21458
RC_EW_2713,E01006492,21250
RC_EW_2713,E01006493,20288
RC_EW_2713,E01006494,19863
RC_EW_2713,E01006495,19427
RC_EW_2713,E01006496,23736
RC_EW_2713,E01006497,22770
RC_EW_2713,E01006498,24329
RC_EW_2713,E01006499,23677
RC_EW_2713,E01006500,22746
RC_EW_2713,E01006501,22132
RC_EW_2713,E01006502,22281
RC_EW_2713,E01006503,23527
RC_EW_2713,E01006504,23156
RC_EW_2713,E01006505,21845
RC_EW_2713,E01006506,15240
RC_EW_2713,E01006507,17980
RC_EW_2713,E01006508,15706
RC_EW_2713,E01006509,16665
RC_EW_2713,E01006510,14712
RC_EW_2713,E01006512,10265
RC_EW_2713,E01006513,8872
RC_EW_2713,E01006514,9886
RC_EW_2713,E01006515,9956
RC_EW_2713,E01006518,10632
RC_EW_2713,E01006519,15143
RC_EW_2713,E01006520,12853
RC_EW_2713,E01006521,13899
RC_EW_2713,E01006522,12872
RC_EW_2713,E01006523,13484
RC_EW_2713,E01006524,14200
RC_EW_2713,E01006525,14895
RC_EW_2713,E01006526,14581
RC_EW_2713,E01006527,14918
RC_EW_2713,E01006528,14932
RC_EW_2713,E01006529,14209
RC_EW_2713,E01006530,18767
RC_EW_2713,E01006531,19257
RC_EW_2713,E01006532,16893
RC_EW_2713,E01006533,19289
RC_EW_2713,E01006534,17046
RC_EW_2713,E01006535,18136
RC_EW_2713,E01006536,18328
RC_EW_2713,E01006537,19063
RC_EW_2713,E01006538,19811
RC_EW_2713,E01006539,15818
RC_EW_2713,E01006540,10458
RC_EW_2713,E01006541,9309
RC_EW_2713,E01006542,8742
RC_EW_2713,E01006543,10276
RC_EW_2713,E01006544,9990
RC_EW_2713,E01006545,9529
RC_EW_2713,E01006546,9112
RC_EW_2713,E01006547,9743
RC_EW_2713,E01006548,9902
RC_EW_2713,E01006549,12527
RC_EW_2713,E01006550,12891
RC_EW_2713,E01006551,13208
RC_EW_2713,E01006552,12064
RC_EW_2713,E01006553,13350
RC_EW_2713,E01006554,13055
RC_EW_2713,E01006556,11658
RC_EW_2713,E01006557,12324
RC_EW_2713,E01006558,8280
RC_EW_2713,E01006560,8393
RC_EW_2713,E01006562,9418
RC_EW_2713,E01006563,10511
RC_EW_2713,E01006564,9003
RC_EW_2713,E01006565,13328
RC_EW_2713,E01006566,13094
RC_EW_2713,E01006567,14011
RC_EW_2713,E01006568,15201
RC_EW_2713,E01006569,13461
RC_EW_2713,E01006570,14702
RC_EW_2713,E01006571,14675
RC_EW_2713,E01006572,15558
RC_EW_2713,E01006573,12737
RC_EW_2713,E01006574,17144
RC_EW_2713,E01006575,13727
RC_EW_2713,E01006576,14187
RC_EW_2713,E01006577,13933
RC_EW_2713,E01006578,15080
RC_EW_2713,E01006579,14644
RC_EW_2713,E01006580,15072
RC_EW_2713,E01006581,14765
RC_EW_2713,E01006582,14498
RC_EW_2713,E01006583,15183
RC_EW_2713,E01006584,14675
RC_EW_2713,E01006585,13201
RC_EW_2713,E01006586,13144
RC_EW_2713,E01006587,13492
RC_EW_2713,E01006588,12923
RC_EW_2713,E01006589,13712
RC_EW_2713,E01006590,13674
RC_EW_2713,E01006591,14193
RC_EW_2713,E01006592,14632
RC_EW_2713,E01006593,13836
RC_EW_2713,E01006594,15117
RC_EW_2713,E01006595,14991
RC_EW_2713,E01006596,14557
RC_EW_2713,E01006597,15578
RC_EW_2713,E01006598,12382
RC_EW_2713,E01006599,14057
RC_EW_2713,E01006600,11723
RC_EW_2713,E01006603,11027
RC_EW_2713,E01006604,13224
RC_EW_2713,E01006605,12668
RC_EW_2713,E01006606,10753
RC_EW_2713,E01006607,10519
RC_EW_2713,E01006608,10123
RC_EW_2713,E01006609,9718
RC_EW_2713,E01006610,9569
RC_EW_2713,E01006611,9185
RC_EW_2713,E01006612,11462
RC_EW_2713,E01006613,10176
RC_EW_2713,E01006614,9372
RC_EW_2713,E01006615,9198
RC_EW_2713,E01006616,10358
RC_EW_2713,E01006617,13253
RC_EW_2713,E01006618,12613
RC_EW_2713,E01006619,13303
RC_EW_2713,E01006620,13891
RC_EW_2713,E01006621,14350
RC_EW_2713,E01006622,14457
RC_EW_2713,E01006623,15239
RC_EW_2713,E01006624,15060
RC_EW_2713,E01006625,13840
RC_EW_2713,E01006626,13151
RC_EW_2713,E01006627,14556
RC_EW_2713,E01006628,13762
RC_EW_2713,E01006629,14073
RC_EW_2713,E01006630,11341
RC_EW_2713,E01006632,11406
RC_EW_2713,E01006633,12011
RC_EW_2713,E01006637,16132
RC_EW_2713,E01006638,16360
RC_EW_2713,E01006639,15326
RC_EW_2713,E01006640,14512
RC_EW_2713,E01006641,15788
RC_EW_2713,E01006642,15366
RC_EW_2713,E01006643,15805
RC_EW_2713,E01006644,15233
RC_EW_2713,E01006645,15825
RC_EW_2713,E01006646,9836
RC_EW_2713,E01006647,9607
RC_EW_2713,E01006648,8165
RC_EW_2713,E01006651,13453
RC_EW_2713,E01006652,12571
RC_EW_2713,E01006653,14287
RC_EW_2713,E01006654,13112
RC_EW_2713,E01006655,14437
RC_EW_2713,E01006656,12636
RC_EW_2713,E01006657,12297
RC_EW_2713,E01006658,14687
RC_EW_2713,E01006659,13764
RC_EW_2713,E01006660,14503
RC_EW_2713,E01006661,14765
RC_EW_2713,E01006662,13808
RC_EW_2713,E01006663,14313
RC_EW_2713,E01006664,13828
RC_EW_2713,E01006665,15060
RC_EW_2713,E01006666,16466
RC_EW_2713,E01006667,15268
RC_EW_2713,E01006668,16679
RC_EW_2713,E01006669,14705
RC_EW_2713,E01006670,16614
RC_EW_2713,E01006671,16024
RC_EW_2713,E01006672,13723
RC_EW_2713,E01006673,10322
RC_EW_2713,E01006674,11544
RC_EW_2713,E01006675,12109
RC_EW_2713,E01006676,10986
RC_EW_2713,E01006677,12066
RC_EW_2713,E01006678,12439
RC_EW_2713,E01006679,11083
RC_EW_2713,E01006680,16816
RC_EW_2713,E01006681,16528
RC_EW_2713,E01006682,15520
RC_EW_2713,E01006683,16281
RC_EW_2713,E01006684,15915
RC_EW_2713,E01006685,15790
RC_EW_2713,E01006686,16747
RC_EW_2713,E01006687,16504
RC_EW_2713,E01006688,16135
RC_EW_2713,E01006689,15851
RC_EW_2713,E01006690,11489
RC_EW_2713,E01006691,10156
RC_EW_2713,E01006692,11664
RC_EW_2713,E01006693,9887
RC_EW_2713,E01006694,10184
RC_EW_2713,E01006695,10790
RC_EW_2713,E01006696,9951
RC_EW_2713,E01006697,10389
RC_EW_2713,E01006698,9597
RC_EW_2713,E01006699,8923
RC_EW_2713,E01006700,8701
RC_EW_2713,E01006701,8539
RC_EW_2713,E01006702,8356
RC_EW_2713,E01006703,8162
RC_EW_2713,E01006705,9862
RC_EW_2713,E01006706,23374
RC_EW_2713,E01006707,18897
RC_EW_2713,E01006708,18104
RC_EW_2713,E01006709,18225
RC_EW_2713,E01006710,20096
RC_EW_2713,E01006711,11928
RC_EW_2713,E01006712,12866
RC_EW_2713,E01006713,12844
RC_EW_2713,E01006716,12725
RC_EW_2713,E01006717,13186
RC_EW_2713,E01006718,12756
RC_EW_2713,E01006719,13248
RC_EW_2713,E01006720,11293
RC_EW_2713,E01006721,12374
RC_EW_2713,E01006722,12131
RC_EW_2713,E01006723,12457
RC_EW_2713,E01006724,12636
RC_EW_2713,E01006725,12519
RC_EW_2713,E01006726,11671
RC_EW_2713,E01006727,12370
RC_EW_2713,E01006728,11903
RC_EW_2713,E01006729,11441
RC_EW_2713,E01006730,11675
RC_EW_2713,E01006731,12097
RC_EW_2713,E01006732,11325
